Time,EngineSpeed,AcceleratorOpeningAngle,TurnSignal,SteeringAngle,Speed,BrakeOilPressure,YawRate,ForwardAndRearwardG,LateralG
0,215.625,2.583,3,-20.5,2.987,-0.02,-2.333,0,-0.262
0.1,323.438,3.875,3,-30.75,4.48,-0.02,-3.5,0,-0.392
0.2,431.25,5.167,3,-41,5.973,-0.02,-4.667,0,-0.523
0.3,539.062,6.458,3,-51.25,7.467,-0.02,-5.833,0,-0.654
0.4,646.875,7.75,3,-61.5,8.96,-0.02,-7,0,-0.785
0.5,754.688,9.042,3,-71.75,10.453,-0.02,-8.167,0,-0.915
0.6,862.5,10.333,3,-82,11.947,-0.02,-9.333,0,-1.046
0.7,970.312,11.625,3,-92.25,13.44,-0.02,-10.5,0,-1.177
0.8,1078.125,12.917,3,-102.5,14.933,-0.02,-11.667,0,-1.308
0.9,1185.938,14.208,3,-112.75,16.427,-0.02,-12.833,0,-1.438
1,1293.75,15.5,3,-123,17.92,-0.02,-14,0,-1.569
1.1,1256.812,16.5,3,-91.5,19.84,-0.02,-11,0.196,-1.079
1.2,1219.875,17.5,3,-60,21.76,-0.02,-8,0.392,-0.588
1.3,1182.938,18,3,-48,22.4,-0.02,-6.5,0.425,-0.49
1.4,1146,18.5,3,-36,23.04,-0.02,-5,0.458,-0.392
1.5,1145.75,18.583,3,-34.125,23.2,-0.02,-4.75,0.49,-0.441
1.6,1145.5,18.667,3,-32.25,23.36,-0.02,-4.5,0.523,-0.49
1.7,1145.25,18.75,3,-30.375,23.52,-0.02,-4.25,0.556,-0.539
1.8,1145,18.833,3,-28.5,23.68,-0.02,-4,0.588,-0.588
1.9,1144.75,18.917,3,-24,23.84,-0.02,-3.5,0.49,-0.539
2,1144.5,19,3,-19.5,24,-0.02,-3,0.392,-0.49
2.1,1146,19,3,-18,24.16,-0.02,-2.5,0.441,-0.441
2.2,1147.5,19,3,-16.5,24.32,-0.02,-2,0.49,-0.392
2.3,1147.5,19,3,-14.25,24.32,-0.02,-2,0.539,-0.392
2.4,1147.5,19,3,-12,24.32,-0.02,-2,0.588,-0.392
2.5,1149.875,18.75,3,-8.25,24.64,-0.02,-1.5,0.49,-0.294
2.6,1152.25,18.5,3,-4.5,24.96,-0.02,-1,0.392,-0.196
2.7,1151.875,18.375,3,-3,25.28,-0.02,-0.5,0.425,-0.294
2.8,1151.5,18.25,3,-1.5,25.6,-0.02,0,0.458,-0.392
2.9,1151.125,18.125,3,-0.75,25.813,-0.02,0,0.49,-0.294
3,1150.75,18,3,0,26.027,-0.02,0,0.523,-0.196
3.1,1146.812,17.875,3,0,26.24,-0.02,0,0.556,-0.147
3.2,1142.875,17.75,3,0,26.453,-0.02,0,0.588,-0.098
3.3,1138.938,17.625,3,0,26.667,-0.02,0,0.49,-0.049
3.4,1135,17.5,3,0,26.88,-0.02,0,0.392,0
3.5,1136.562,17.5,3,0,26.88,-0.02,0,0.392,0
3.6,1138.125,17.5,3,0,26.88,-0.02,0,0.392,0
3.7,1139.688,17.5,3,0,26.88,-0.02,0,0.392,0
3.8,1141.25,17.5,3,0,26.88,-0.02,0,0.392,0
3.9,1143.812,17.375,3,0,27.063,-0.02,0,0.374,-0.098
4,1146.375,17.25,3,0,27.246,-0.02,0,0.357,-0.196
4.1,1148.938,17.125,3,0,27.429,-0.02,0,0.339,-0.235
4.2,1151.5,17,3,0,27.611,-0.02,0,0.321,-0.275
4.3,1148.7,16.4,3,0,27.794,-0.02,0,0.303,-0.314
4.4,1145.9,15.8,3,0,27.977,-0.02,0,0.285,-0.353
4.5,1143.1,15.2,3,0,28.16,-0.02,0,0.267,-0.392
4.6,1140.3,14.6,3,0,28.16,-0.02,0,0.25,-0.343
4.7,1137.5,14,3,0,28.16,-0.02,0,0.232,-0.294
4.8,1139.25,13.75,3,0,28.16,-0.02,0,0.214,-0.245
4.9,1141,13.5,3,0,28.16,-0.02,0,0.196,-0.196
5,1142.75,13.75,3,0,28.16,-0.02,0,0.196,-0.196
5.1,1144.5,14,3,0,28.16,-0.02,0,0.196,-0.196
5.2,1142.875,13.917,3,-0.25,28.8,-0.02,0,0.245,-0.294
5.3,1141.25,13.833,3,-0.5,29.44,-0.02,0,0.294,-0.392
5.4,1140.688,13.75,3,-0.75,29.44,-0.02,0,0.343,-0.294
5.5,1140.125,13.667,3,-1,29.44,-0.02,0,0.392,-0.196
5.6,1139.562,13.583,3,-1.25,29.44,-0.02,0,0.36,-0.392
5.7,1139,13.5,3,-1.5,29.44,-0.02,0,0.327,-0.588
5.8,1139.5,13.375,3,-1.25,29.44,-0.02,0,0.294,-0.539
5.9,1140,13.25,3,-1,29.44,-0.02,0,0.262,-0.49
6,1140.5,13.125,3,-0.75,29.44,-0.02,0,0.229,-0.441
6.1,1141,13,3,-0.5,29.44,-0.02,0,0.196,-0.392
